Name,Tm,G,R,H,2B,3B,HR,RBI,SO,SB,BA,OBP,OPS
Zach McKinstry,Detroit,5,3,7,1,1,1,4,3,2,0.438,0.412,1.224
Matt McLain,Cincinnati,6,3,7,1,0,0,4,5,0,0.304,0.333,0.681
Ryan McMahon,Colorado,6,3,2,0,0,0,0,9,0,0.118,0.211,0.328
Jeff McNeil,New York,4,1,5,1,0,0,2,3,0,0.333,0.375,0.775
Curtis Mead,Tampa Bay,4,1,0,0,0,0,0,5,1,0,0.167,0.167
Parker Meadows,Detroit,4,2,3,0,0,0,0,5,0,0.231,0.333,0.564
Chase Meidroth,Chicago,5,2,3,0,0,0,1,3,1,0.167,0.273,0.439
Jackson Merrill,San Diego,5,1,2,1,0,0,0,6,0,0.111,0.273,0.439
Jake Meyers,Houston,6,4,5,0,0,0,1,4,1,0.238,0.304,0.542
Drew Millas,Washington,2,2,1,1,0,0,1,0,0,0.333,0.5,1.167
Andruw Monasterio,Milwaukee,1,0,0,0,0,0,0,0,0,,,
Mickey Moniak,Colorado,4,0,1,1,0,0,0,5,0,0.091,0.167,0.348
Christian Moore,Los Angeles,5,3,3,0,0,0,2,6,0,0.176,0.364,0.54
Dylan Moore,Seattle,4,1,0,0,0,0,0,2,0,0,0.143,0.143
Christopher Morel,Tampa Bay,4,3,3,0,0,1,1,3,0,0.333,0.333,1
Cedric Mullins,Baltimore,6,2,4,1,0,0,4,4,0,0.182,0.208,0.436
Max Muncy,Los Angeles,5,6,6,1,0,2,10,5,0,0.333,0.429,1.151
Max Muncy,Athletics,6,4,6,0,0,1,2,5,0,0.3,0.391,0.841
Sean Murphy,Atlanta,4,2,3,1,0,2,5,6,0,0.25,0.25,1.083
Dane Myers,Miami,6,3,4,0,0,0,0,4,5,0.2,0.304,0.504
Carlos Narváez,Boston,5,4,7,1,0,1,4,3,0,0.389,0.429,1.04
Bo Naylor,Cleveland,5,0,0,0,0,0,0,3,0,0,0,0
Josh Naylor,Arizona,2,1,2,0,0,1,2,1,0,0.333,0.429,1.262
Zach Neto,Los Angeles,4,0,0,0,0,0,0,3,0,0,0,0
Kevin Newman,Los Angeles,3,1,2,0,0,1,4,2,0,0.222,0.222,0.778
Brandon Nimmo,New York,5,0,6,1,0,0,2,2,1,0.316,0.35,0.718
Ryan Noda,Chicago,3,0,1,0,0,0,0,1,0,0.167,0.286,0.452
Lars Nootbaar,St. Louis,3,1,1,0,0,0,0,3,0,0.091,0.231,0.322
Connor Norby,Miami,6,3,5,1,0,0,2,6,1,0.217,0.269,0.53
Ryan O'Hearn,Baltimore,6,4,3,1,0,0,0,3,0,0.176,0.364,0.599
Logan O'Hoppe,Los Angeles,4,0,3,1,0,0,0,7,0,0.158,0.158,0.368
Shohei Ohtani,Los Angeles,6,6,5,0,1,3,4,7,0,0.25,0.375,1.175
Matt Olson,Atlanta,6,0,8,1,0,0,0,8,0,0.333,0.407,0.782
Joey Ortiz,Milwaukee,4,2,1,0,0,1,3,0,1,0.077,0.2,0.508
Alejandro Osuna,Texas,6,3,3,1,0,1,2,3,2,0.167,0.286,0.675
Marcell Ozuna,Atlanta,6,1,4,0,0,0,0,8,0,0.16,0.16,0.32
Andy Pages,Los Angeles,6,3,7,2,0,0,4,7,0,0.292,0.32,0.695
Pedro Pagés,St. Louis,6,2,3,0,0,1,2,7,0,0.188,0.222,0.597
Isaac Paredes,Houston,6,3,5,0,0,1,1,4,0,0.217,0.308,0.656
Vinnie Pasquantino,Kansas City,7,3,7,3,0,1,5,6,0,0.259,0.333,0.815
Jeremy Peña,Houston,3,1,2,1,0,0,0,1,0,0.2,0.273,0.573
Oswald Peraza,New York,2,0,0,0,0,0,0,1,0,0,0,0
Geraldo Perdomo,Arizona,6,5,8,1,0,1,6,6,2,0.32,0.393,0.873
Salvador Perez,Kansas City,6,0,6,3,0,0,5,3,0,0.25,0.308,0.683
Wenceel Pérez,Detroit,5,2,3,1,1,0,2,6,0,0.188,0.278,0.653
Tommy Pham,Pittsburgh,5,2,6,0,0,1,6,4,0,0.333,0.368,0.868
Jorge Polanco,Seattle,3,0,2,0,0,0,2,1,0,0.182,0.357,0.539
Yohel Pozo,St. Louis,4,1,3,2,0,0,0,1,0,0.375,0.375,1
Edgar Quero,Chicago,2,0,0,0,0,0,0,0,0,0,0.25,0.25
Ceddanne Rafaela,Boston,6,3,5,2,0,1,3,2,0,0.263,0.3,0.826
Cal Raleigh,Seattle,7,2,4,1,0,1,2,9,0,0.167,0.344,0.677
Luke Raley,Seattle,5,2,4,2,0,0,0,4,0,0.211,0.25,0.566
Agustín Ramírez,Miami,6,8,10,4,1,1,6,8,0,0.417,0.462,1.253
José Ramírez,Cleveland,5,0,2,0,0,0,2,3,1,0.111,0.2,0.311
Heliot Ramos,San Francisco,7,0,4,1,0,0,1,9,0,0.138,0.194,0.366
John Rave,Kansas City,5,2,2,0,0,0,0,5,1,0.167,0.286,0.452
J.T. Realmuto,Philadelphia,5,1,5,1,0,0,1,4,0,0.25,0.286,0.586
Rob Refsnyder,Boston,2,0,0,0,0,0,0,4,0,0,0,0
Luis Rengifo,Los Angeles,5,5,9,2,1,0,2,2,0,0.45,0.5,1.15
Bryan Reynolds,Pittsburgh,6,5,8,3,0,2,6,5,0,0.32,0.32,1
Ben Rice,New York,4,2,0,0,0,0,0,3,0,0,0.333,0.333
Austin Riley,Atlanta,6,1,6,1,0,0,1,6,0,0.273,0.304,0.623
Ryan Ritter,Colorado,4,2,4,1,0,0,1,5,0,0.308,0.357,0.742
Emmanuel Rivera,Baltimore,1,0,0,0,0,0,0,0,0,0,0,0
Luis Robert Jr.,Chicago,1,0,0,0,0,0,0,0,0,,,
Brayan Rocchio,Cleveland,1,0,0,0,0,0,0,1,0,0,0,0
Alan Roden,Toronto,2,0,1,1,0,0,0,2,0,0.2,0.2,0.6
Johnathan Rodríguez,Cleveland,1,0,1,0,0,0,0,1,0,0.333,0.5,0.833
Julio Rodríguez,Seattle,7,4,9,1,0,0,1,7,1,0.29,0.333,0.656
Jake Rogers,Detroit,2,0,0,0,0,0,1,1,0,0,0.286,0.286
Trevor Rogers,Baltimore,1,0,0,0,0,0,0,2,0,0,0,0
Johan Rojas,Philadelphia,1,1,1,1,0,0,0,0,0,0.333,0.333,1
Josh Rojas,Chicago,5,0,3,1,0,0,0,2,0,0.176,0.222,0.458
Miguel Rojas,Los Angeles,3,1,3,1,0,0,1,0,0,0.429,0.5,1.071
Brent Rooker,Athletics,7,5,5,2,0,1,2,7,0,0.192,0.276,0.66
Amed Rosario,Washington,1,0,0,0,0,0,0,2,0,0,0,0
Dalton Rushing,Los Angeles,2,1,0,0,0,0,0,4,0,0,0.125,0.125
Thomas Saggese,St. Louis,4,0,0,0,0,0,0,3,0,0,0,0
César Salazar,Houston,1,0,0,0,0,0,0,0,0,,,
Gary Sánchez,Baltimore,6,5,9,2,0,2,10,4,0,0.36,0.385,1.065
Jesús Sánchez,Miami,6,6,5,0,1,0,0,6,0,0.217,0.28,0.584
Javier Sanoja,Miami,2,2,2,0,1,0,1,1,0,0.4,0.625,1.425
Carlos Santana,Cleveland,5,2,3,1,0,0,0,8,0,0.176,0.3,0.535
Nolan Schanuel,Los Angeles,5,2,4,1,0,1,2,2,0,0.2,0.333,0.733
Casey Schmitt,San Francisco,1,1,0,0,0,0,0,2,0,0,0.25,0.25
Daniel Schneemann,Cleveland,6,1,2,1,0,0,1,4,0,0.125,0.222,0.41
Davis Schneider,Toronto,4,2,3,1,0,0,0,3,0,0.375,0.5,1
Max Schuemann,Athletics,5,1,1,0,0,0,0,3,2,0.125,0.3,0.425
Kyle Schwarber,Philadelphia,6,2,6,1,0,1,2,9,2,0.3,0.462,0.962
Victor Scott II,St. Louis,6,2,6,1,0,1,4,6,0,0.3,0.3,0.8
Corey Seager,Texas,6,7,7,2,0,3,7,5,0,0.318,0.484,1.302
Marcus Semien,Texas,6,7,11,2,0,1,5,5,1,0.407,0.484,1.076
Hayden Senger,New York,2,0,1,0,0,0,0,2,0,0.125,0.125,0.25
Matt Shaw,Chicago,5,2,4,2,0,0,4,3,2,0.235,0.381,0.734
Gavin Sheets,San Diego,5,1,5,2,0,1,3,5,0,0.238,0.273,0.749
Chandler Simpson,Tampa Bay,7,2,9,0,1,0,1,0,3,0.409,0.458,0.958
Austin Slater,Chicago,3,1,2,0,0,0,0,1,0,0.222,0.222,0.444
Cam Smith,Houston,6,5,9,0,0,2,6,9,1,0.409,0.48,1.162
Dominic Smith,San Francisco,4,2,2,1,0,0,0,3,0,0.143,0.25,0.464
Josh Smith,Texas,6,4,6,1,0,0,0,4,0,0.222,0.3,0.559
Pavin Smith,Arizona,6,1,5,1,0,0,3,11,0,0.2,0.192,0.432
Will Smith,Los Angeles,4,3,2,0,0,1,1,3,0,0.154,0.313,0.697
Tyler Soderstrom,Athletics,7,0,3,0,0,0,2,3,0,0.188,0.3,0.488
Nick Sogard,Boston,3,2,3,2,0,0,1,3,0,0.3,0.417,0.917
